reg;gen;planting_date;lon;lat;mai
BA;CLZ003;30/09/2009;-39.7671;-17.888525;-0.762510188
BA;CLZ003;30/09/2009;-39.7668;-17.88055;0.405613605
BA;CLZ003;30/09/2009;-39.7698;-17.88124286;-0.83059192
BA;CLZ005;31/10/2010;-39.97405;-17.85125;-0.344388615
BA;CLZ004;30/10/2012;-39.79895;-17.9481;1.222119565
BA;CLZ004;29/11/2012;-39.7215;-17.784;-0.369341015
BA;CLZ001;26/12/2012;-39.7067;-17.8552;-0.069717444
BA;CLZ004;30/01/2013;-39.73703333;-17.85576667;0.148396893
BA;CLZ001;26/04/2013;-39.80366667;-17.94733333;0.788590952
BA;CLZ001;31/12/2010;-39.6503;-17.8527;0.981519319
BA;CLZ001;31/12/2010;-39.6508;-17.854;0.934770405
BA;CLZ001;29/04/2013;-39.81652;-18.00696;0.545973317
BA;CLZ001;29/04/2013;-39.8163;-18.00615;0.358324203
BA;CLZ004;29/05/2013;-39.8047815;-17.9349085;0.660955491
BA;CLZ004;29/05/2013;-39.8061;-17.9354;0.909330321
BA;CLZ004;29/05/2013;-39.8002;-17.9326;0.846225967
BA;CLZ004;27/09/2013;-39.7997;-17.95653333;0.134530204
BA;CLZ004;27/05/2014;-39.79581867;-17.94590833;-0.087377778
BA;CLZ004;30/10/2014;-39.7954;-17.93385;0.21087377
BA;CLZ004;30/10/2014;-39.7971;-17.9352;0.16497689
BA;CLZ004;31/12/2010;-39.885153;-17.919497;0.701914166
BA;CLZ004;31/12/2010;-39.8897;-17.9222;1.438590365
BA;CLZ004;31/12/2010;-39.891203;-17.922257;0.524636646
BA;CLZ004;31/12/2010;-39.882894;-17.9079445;0.364122569
BA;CLZ004;31/12/2010;-39.88502225;-17.91548575;0.344146716
BA;CLZ004;31/12/2010;-39.8839;-17.9168;-0.750179524
BA;CLZ003;31/10/2008;-39.891275;-17.9481;-3.789742151
BA;CLZ003;31/10/2008;-39.88726667;-17.94616667;-2.395881203
BA;CLZ003;31/10/2008;-39.8883;-17.9509;-2.500040711
BA;CLZ001;30/11/2011;-39.81835;-17.988;0.362401134
BA;CLZ001;30/11/2011;-39.8195;-17.9892;0.999169393
BA;CLZ001;31/05/2010;-39.9788;-18.01475;-0.535302705
BA;CLZ001;31/05/2010;-39.9767;-18.0068;-0.460767428
BA;CLZ004;31/10/2011;-39.9745;-17.9656;-0.513618083
BA;CLZ001;31/10/2011;-39.97785;-17.9664;-0.689603011
BA;CLZ001;29/12/2011;-40.00924286;-17.91854286;-0.67539968
BA;CLZ001;30/11/2010;-39.90478233;-17.9184425;-0.574094167
BA;CLZ001;30/11/2010;-39.906292;-17.920439;-0.559169409
BA;CLZ001;30/11/2010;-39.910471;-17.9235925;-0.721590433
BA;CLZ001;30/11/2011;-40.09231111;-17.91435556;-1.240556424
BA;CLZ001;30/11/2011;-40.0881;-17.912;-1.614295865
BA;CLZ005;30/06/2008;-40.75312;-17.37146;0.530557016
BA;CLZ005;30/06/2008;-40.7492;-17.3722;-0.51717809
BA;CLZ001;30/06/2009;-40.7399;-17.3735;-0.419139437
BA;CLZ001;30/06/2009;-40.74405;-17.37645;0.02336666
BA;CLZ001;30/11/2009;-40.11718;-17.90496;0.043132049
BA;CLZ004;31/12/2009;-40.10686667;-17.87246667;-0.112364797
BA;CLZ004;31/12/2009;-40.10233333;-17.88856667;-0.931542987
BA;CLZ001;30/09/2010;-40.4943;-17.84965;-2.038788765
BA;CLZ001;30/09/2010;-40.488837;-17.8602035;-1.962251469
BA;CLZ001;30/09/2010;-40.4890695;-17.862141;-1.467183778
BA;CLZ001;30/09/2010;-40.488331;-17.860802;-2.213704411
BA;CLZ001;30/09/2010;-40.493123;-17.862916;-1.096975609
BA;CLZ002;31/03/2010;-40.3355;-17.7935;-1.633634344
BA;CLZ002;31/03/2010;-40.3347;-17.804;-0.750104611
BA;CLZ002;31/03/2010;-40.3377;-17.8062;-0.171568902
BA;CLZ002;31/03/2010;-40.3356;-17.8066;-0.369642982
BA;CLZ002;31/03/2010;-40.3258;-17.8041;-0.272382609
BA;CLZ004;31/12/2009;-40.02475;-17.8799;-0.049873437
BA;CLZ004;31/12/2009;-40.0218;-17.88;-0.709628103
BA;CLZ004;31/05/2011;-39.82294286;-18.09799286;-0.117287094
BA;CLZ004;31/05/2011;-39.82833333;-18.09763333;-0.670068896
BA;CLZ004;30/10/2012;-39.88813333;-17.9549;-0.246590933
BA;CLZ001;30/07/2013;-40.22835;-17.883225;-1.132585999
BA;CLZ001;30/07/2013;-40.2233;-17.88585;-1.505476262
BA;CLZ001;30/07/2013;-40.2342;-17.887;-1.156315647
BA;CLZ001;30/07/2013;-40.2351;-17.8913;-0.868874616
BA;CLZ001;30/07/2013;-40.2309;-17.8889;0.102631747
BA;CLZ004;29/05/2013;-40.0002;-17.9638;-1.247247565
BA;CLZ004;30/10/2013;-39.975625;-17.95925;-0.391293417
BA;CLZ001;30/04/2010;-40.4077;-17.835;-1.851900642
BA;CLZ001;30/04/2010;-40.40735;-17.837;-1.282763054
BA;CLZ001;30/04/2010;-40.41025;-17.8387;-1.339270253
BA;CLZ001;30/04/2010;-40.40156667;-17.84033333;-1.473686406
BA;CLZ001;30/04/2010;-40.4026;-17.839;-0.940423959
BA;CLZ001;30/04/2010;-40.39536667;-17.84103333;-1.338030839
BA;CLZ001;30/04/2010;-40.39451429;-17.84685714;-1.360654955
BA;CLZ001;30/04/2010;-40.40426;-17.85268;-0.802317034
BA;CLZ001;30/04/2010;-40.40343333;-17.8514;-1.173343216
BA;CLZ004;31/10/2010;-40.00072857;-18.03561429;-0.19765639
BA;CLZ004;31/10/2010;-39.9944;-18.0397;1.322709179
BA;CLZ004;31/10/2010;-39.9929;-18.0354;-0.294120895
BA;CLZ001;31/10/2011;-39.8447;-18.1084;-0.37995198
BA;CLZ001;31/10/2011;-39.8427;-18.1064;-0.962913284
BA;CLZ001;31/10/2011;-39.8445;-18.107;-0.936614968
BA;CLZ001;31/10/2011;-39.8421;-18.10945;-0.784604278
BA;CLZ003;31/10/2008;-39.67126667;-18.30196667;-2.994355378
BA;CLZ001;31/12/2010;-39.9736;-18.0527;-0.588583225
BA;CLZ001;31/12/2010;-39.97705;-18.0555;-0.905541622
BA;CLZ001;31/12/2010;-39.9730875;-18.0557625;-1.175185493
BA;CLZ001;31/12/2010;-39.9825;-18.0572;-1.924631058
BA;CLZ001;31/12/2010;-39.981;-18.0569;-1.853224833
BA;CLZ001;31/12/2010;-39.79573846;-18.12705385;0.503432893
BA;CLZ001;30/11/2011;-39.7877;-18.13884545;0.699996687
BA;CLZ004;30/09/2011;-39.78949091;-18.14970909;0.363921114
BA;CLZ004;30/09/2011;-39.78693636;-18.14664545;0.925692855
BA;CLZ001;30/11/2010;-39.77388125;-18.14734375;0.797529082
BA;CLZ003;31/05/2009;-39.67165;-18.30745;1.318452821
BA;CLZ004;29/12/2011;-39.9485;-18.10703333;-0.68228904
BA;CLZ001;29/12/2011;-39.93855;-18.117275;-1.225558857
BA;CLZ004;29/12/2011;-39.9475;-18.1103;-1.358438441
BA;CLZ001;31/08/2011;-39.87105;-18.081375;-0.219012703
BA;CLZ004;31/08/2011;-39.86925;-18.086;0.320691352
BA;CLZ004;31/08/2011;-40.0593;-17.9706;-2.332940559
BA;CLZ001;30/11/2011;-40.062325;-17.9777;-1.190904052
BA;CLZ001;30/11/2011;-40.0570125;-17.9814875;-0.896835577
BA;CLZ004;30/11/2011;-40.0675;-17.9741;-1.930353466
BA;CLZ004;31/08/2011;-40.06658889;-17.98034444;-1.27657701
BA;CLZ004;31/08/2011;-40.0689;-17.9666;-2.014164076
BA;CLZ004;31/08/2011;-40.06833333;-17.97043333;-2.242661506
BA;CLZ001;30/09/2011;-40.0734;-17.9698;-1.854418812
BA;CLZ004;30/09/2011;-40.0701;-17.9669;-1.61660496
BA;CLZ004;30/09/2011;-40.07748;-17.9753;-1.48938152
BA;CLZ004;30/09/2011;-40.0784;-17.9784;-1.807622498
BA;CLZ001;30/09/2011;-40.0764;-17.9712;-1.796815941
BA;CLZ001;30/09/2011;-40.07465;-17.9723;-2.318395348
BA;CLZ004;30/11/2011;-40.0948;-17.9806;-1.420852232
BA;CLZ004;30/11/2011;-40.0927;-17.9796;-1.345737536
BA;CLZ004;30/11/2011;-40.0891;-17.9786;-1.299820566
BA;CLZ004;30/11/2011;-40.08496667;-17.98248333;-1.133480019
BA;CLZ001;30/11/2011;-40.091;-17.98065;-1.242222394
BA;CLZ004;29/12/2011;-39.68114444;-18.11128889;2.073710959
BA;CLZ003;31/10/2008;-39.93624;-18.08498;-1.268777117
BA;CLZ001;30/06/2009;-40.115;-17.9635;-2.336751784
BA;CLZ001;30/06/2009;-40.121;-17.9664;-1.428238528
BA;CLZ001;31/08/2009;-40.11535;-17.9726;-0.935852829
BA;CLZ001;31/08/2009;-40.1139;-17.9721;-0.15172687
BA;CLZ001;31/08/2009;-40.1108;-17.9723;-1.396864372
BA;CLZ004;31/03/2010;-40.1138;-17.9695;-3.149173311
BA;CLZ004;31/03/2010;-40.1085;-17.9674;-0.539815198
BA;CLZ004;31/03/2010;-40.108;-17.9712;-2.530581016
BA;CLZ001;31/12/2009;-39.95485;-18.116275;-0.556520107
BA;CLZ001;31/12/2010;-39.9843;-18.107;0.047412748
BA;CLZ001;31/10/2010;-40.17985455;-17.98751818;-1.088160999
BA;CLZ001;31/10/2010;-40.18371667;-17.99026667;-1.029502527
BA;CLZ001;31/10/2010;-40.1798;-17.9844;-0.957347648
BA;CLZ001;31/03/2011;-39.9763;-18.0411;-0.723306693
BA;CLZ001;31/03/2011;-39.9767;-18.0441;-0.37939272
BA;CLZ001;31/12/2010;-40.2009;-17.95336667;-0.123957397
BA;CLZ001;31/12/2010;-40.20532727;-17.9506;-1.367448817
BA;CLZ001;24/07/2012;-39.91296667;-18.168;0.703609518
BA;CLZ004;29/11/2012;-40.1333;-18.0354;-0.596122617
BA;CLZ004;29/04/2013;-39.80135;-18.109875;0.163779234
BA;CLZ001;27/09/2013;-39.76773333;-18.13066667;1.898346796
BA;CLZ001;26/12/2012;-39.780675;-18.130725;0.339893796
BA;CLZ004;27/09/2013;-39.77103333;-18.1352;-0.043883589
BA;CLZ004;26/12/2012;-39.79185;-18.12665;0.34095889
BA;CLZ004;26/12/2012;-39.77895;-18.13665;0.580243151
BA;CLZ001;29/08/2013;-39.7555;-18.1442;0.49854144
BA;CLZ004;11/09/2013;-39.7828;-18.1288;1.0478922
BA;CLZ001;29/08/2013;-40.06915;-17.96215;-0.445977741
BA;CLZ001;29/08/2013;-40.073369;-17.96506925;-0.812820506
BA;CLZ001;29/08/2013;-40.0884;-17.9769;0.196600303
BA;CLZ001;29/08/2013;-40.0839;-17.9769;-0.533104482
BA;CLZ001;29/08/2013;-40.086;-17.9783;-0.139888828
BA;CLZ001;30/10/2013;-39.9501;-18.0476;0.07657901
BA;CLZ001;30/10/2013;-39.9493;-18.0497;0.010668548
BA;CLZ004;25/04/2014;-39.87473333;-18.14093333;-0.847357266
BA;CLZ004;15/10/2014;-40.1352;-18.031125;-1.425764012
BA;CLZ004;15/11/2014;-40.13296667;-18.02963333;-0.528617959
BA;CLZ001;11/12/2012;-39.7745;-18.13243333;1.112794741
BA;CLZ001;05/04/2013;-39.7776;-18.138;0.965919617
BA;CLZ001;31/10/2010;-40.183375;-18.02295;-1.557211836
BA;CLZ001;31/10/2010;-40.181;-18.0233;-1.081964928
BA;CLZ001;31/10/2010;-40.01006667;-18.2791;-1.202687908
BA;CLZ001;31/10/2010;-40.0111;-18.28355;-0.334170603
BA;CLZ001;31/10/2010;-40.0051;-18.28365;-0.503917516
BA;CLZ004;30/09/2011;-40.1613;-18.0377;1.090934005
BA;CLZ004;30/09/2011;-40.16225;-18.05125;-1.132863008
BA;CLZ004;30/09/2011;-40.1566;-18.0517;-0.361781056
BA;CLZ001;29/04/2013;-40.5501;-17.98165;-0.846783591
BA;CLZ004;30/10/2013;-40.0387875;-18.2502625;-1.192963073
BA;CLZ001;30/10/2013;-40.035175;-18.2398875;-1.040837987
BA;CLZ001;28/08/2014;-40.03013333;-18.24823333;-0.59084996
BA;CLZ001;28/08/2014;-40.0312;-18.2449;-0.599036873
BA;CLZ001;25/09/2014;-40.0232;-18.260875;-0.681214003
SP;CLZ001;24/01/2014;-48.16025;-22.95615;1.961229179
SP;CLZ001;24/01/2014;-48.159774;-22.958118;1.748616779
BA;CLZ001;11/09/2013;-39.2912654;-17.4938577;1.245296149
BA;CLZ001;12/09/2013;-39.2855289;-17.4938751;1.564540826
BA;CLZ004;12/09/2013;-39.2905853;-17.4926746;1.61939711
BA;CLZ004;12/09/2013;-39.2860424;-17.4909547;1.144166172
BA;CLZ001;15/09/2010;-39.3040124;-17.489536;2.228619954
BA;CLZ006;03/09/2015;-39.30395439;-17.48931312;2.143989113
BA;CLZ001;12/09/2013;-39.2876224;-17.4893526;1.120363417
BA;CLZ001;15/09/2010;-39.2965606;-17.4889055;0.945900314
BA;CLZ001;15/09/2010;-39.2973886;-17.4883168;0.956272102
BA;CLZ001;05/08/2015;-39.29735493;-17.48869003;0.812037302
BA;CLZ001;12/09/2013;-39.286535;-17.4867147;0.585726109
BA;CLZ001;11/09/2013;-39.3014881;-17.4838634;1.378136437
BA;CLZ001;13/09/2013;-39.298471;-17.4762933;1.299212477
BA;CLZ004;10/09/2013;-39.2935074;-17.4762826;1.030910896
BA;CLZ001;13/09/2013;-39.2847951;-17.4763133;2.1467752
BA;CLZ001;04/02/2015;-39.33867191;-17.48819942;-0.362593182
BA;CLZ002;15/01/2015;-39.34041027;-17.48426149;0.680993158
BA;CLZ002;16/01/2015;-39.33817522;-17.48277087;0.788053802
BA;CLZ001;19/01/2015;-39.34400969;-17.47661135;0.828504147
BA;CLZ001;22/01/2015;-39.33862571;-17.47341177;0.920531193
BA;CLZ001;13/02/2015;-39.26147047;-17.4794542;1.31209104
BA;CLZ001;19/06/2015;-39.25726864;-17.47747527;1.893963919
BA;CLZ001;26/06/2015;-39.26069757;-17.47681427;1.720066756
BA;CLZ001;06/02/2015;-39.25590957;-17.4753245;1.560083996
BA;CLZ001;02/09/2015;-39.26255363;-17.47356593;1.135772454
BA;CLZ001;07/06/2012;-39.259011;-17.4726607;0.283139521
BA;CLZ001;11/09/2013;-39.2857523;-17.4740341;0.742830891
BA;CLZ001;18/09/2013;-39.2966981;-17.4632888;0.848381013
BA;CLZ001;13/09/2013;-39.2740114;-17.4704621;0.938826746
BA;CLZ002;21/08/2015;-39.2772056;-17.46979455;1.693437211
BA;CLZ001;12/09/2013;-39.2943367;-17.4707495;1.909593478
BA;CLZ001;21/08/2015;-39.26985377;-17.46834969;0.014860095
BA;CLZ004;18/09/2013;-39.266152;-17.4674086;1.47062471
BA;CLZ001;22/06/2015;-39.28716784;-17.4664684;0.440956491
BA;CLZ001;13/09/2013;-39.2858971;-17.4642356;0.380055158
BA;CLZ001;14/09/2013;-39.2947648;-17.4616556;1.316504467
